openelections_file_name,date,state,type
20081104__ms__general__adams__precinct.csv,2008-11-04,MS,general
20081104__ms__general__alcom__precinct.csv,2008-11-04,MS,general
20100216__ms__special__general__state_senate__36.csv,2010-02-16,MS,special
20100216__ms__special__general_runoff__state_senate__36.csv,2010-02-16,MS,special
20100601__ms__primary.csv,2010-06-01,MS,primary
20100622__ms__primary__runoff.csv,2010-06-22,MS,primary
20101102__ms__general.csv,2010-11-02,MS,general
20110802__ms__democratic__primary__adams__precinct.csv,2011-08-02,MS,primary
20110802__ms__democratic__primary__alcorn__precinct.csv,2011-08-02,MS,primary
20110802__ms__democratic__primary__amite__precinct.csv,2011-08-02,MS,primary
20110802__ms__democratic__primary__attala__precinct.csv,2011-08-02,MS,primary
20110802__ms__democratic__primary__benton__precinct.csv,2011-08-02,MS,primary
20110802__ms__republican__primary__adams__precinct.csv,2011-08-02,MS,primary
20110802__ms__republican__primary__alcorn__precinct.csv,2011-08-02,MS,primary
20110802__ms__republican__primary__amite__precinct.csv,2011-08-02,MS,primary
20110802__ms__republican__primary__attala__precinct.csv,2011-08-02,MS,primary
20110802__ms__republican__primary__benton__precinct.csv,2011-08-02,MS,primary
20110823__ms__democratic__primary_runoff__benton__precinct.csv,2011-08-23,MS,primary_runoff
20110823__ms__republican__primary_runoff__benton__precinct.csv,2011-08-23,MS,primary_runoff
20111108__ms__general.csv,2011-11-08,MS,general
20120313__ms__democratic__primary__adams__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__alcorn__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__amite__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__attala__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__benton__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__bolivar__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__calhoun__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__carroll__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__chickasaw__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__choctaw__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__claiborne__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__clarke__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__clay__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__coahoma__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__copiah__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__covington__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__desoto__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__forrest__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__franklin__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__george__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__greene__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__grenada__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__hancock__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__harrison__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__hinds__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__holmes__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__humphreys__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__issaquena__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__itawamba__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__jackson__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__jasper__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__jefferson__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__jefferson_davis__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__jones__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__kemper__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lafayette__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lamar__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lauderdale__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lawrence__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__leake__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lee__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__leflore__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lincoln__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__lowndes__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__madison__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__marion__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__marshall__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__monroe__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__montgomery__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__neshoba__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__newton__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__noxubee__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__oktibbeha__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__panola__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__pearl_river__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__perry__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__pike__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__pontotoc__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__prentiss__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__quitman__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__rankin__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__scott__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__sharkey__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__simpson__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__stone__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__sunflower__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__tallahatchie__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__tate__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__tippah__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__tishomingo__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__tunica__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__union__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__walthall__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__warren__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__washington__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__wayne__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__webster__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__wilkinson__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__winston__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__yalobusha__precinct.csv,2012-03-13,MS,primary
20120313__ms__democratic__primary__yazoo__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__adams__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__alcorn__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__amite__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__attala__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__benton__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__bolivar__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__calhoun__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__carroll__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__chickasaw__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__choctaw__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__claiborne__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__clarke__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__clay__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__coahoma__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__copiah__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__covington__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__desoto__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__forrest__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__franklin__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__george__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__greene__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__grenada__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__hancock__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__harrison__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__hinds__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__holmes__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__humphreys__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__issaquena__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__itawamba__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__jackson__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__jasper__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__jefferson__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__jefferson_davis__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__jones__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__kemper__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lafayette__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lamar__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lauderdale__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lawrence__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__leake__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lee__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lincoln__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__lowndes__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__madison__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__marion__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__marshall__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__monroe__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__montgomery__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__neshoba__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__newton__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__noxubee__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__oktibbeha__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__panola__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__pearl_river__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__perry__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__pike__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__pontotoc__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__prentiss__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__quitman__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__rankin__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__scott__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__sharkey__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__simpson__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__stone__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__sunflower__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__tallahatchie__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__tate__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__tippah__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__tishomingo__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__tunica__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__union__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__walthall__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__warren__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__washington__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__wayne__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__webster__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__wilkinson__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__winston__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__yalobusha__precinct.csv,2012-03-13,MS,primary
20120313__ms__republican__primary__yazoo__precinct.csv,2012-03-13,MS,primary
20121106__ms__general.csv,2012-11-06,MS,general
20121106__ms__general__adams__precinct.csv,2012-11-06,MS,general
20121106__ms__general__alcorn__precinct.csv,2012-11-06,MS,general
20121106__ms__general__amite__precinct.csv,2012-11-06,MS,general
20121106__ms__general__attala__precinct.csv,2012-11-06,MS,general
20121106__ms__general__benton__precinct.csv,2012-11-06,MS,general
20121106__ms__general__bolivar__precinct.csv,2012-11-06,MS,general
20121106__ms__general__calhoun__precinct.csv,2012-11-06,MS,general
20121106__ms__general__carroll__precinct.csv,2012-11-06,MS,general
20121106__ms__general__chickasaw__precinct.csv,2012-11-06,MS,general
20121106__ms__general__choctaw__precinct.csv,2012-11-06,MS,general
20121106__ms__general__claiborne__precinct.csv,2012-11-06,MS,general
20121106__ms__general__clarke__precinct.csv,2012-11-06,MS,general
20121106__ms__general__clay__precinct.csv,2012-11-06,MS,general
20121106__ms__general__coahoma__precinct.csv,2012-11-06,MS,general
20121106__ms__general__copiah__precinct.csv,2012-11-06,MS,general
20121106__ms__general__covington__precinct.csv,2012-11-06,MS,general
20121106__ms__general__desoto__precinct.csv,2012-11-06,MS,general
20121106__ms__general__forrest__precinct.csv,2012-11-06,MS,general
20121106__ms__general__franklin__precinct.csv,2012-11-06,MS,general
20121106__ms__general__george__precinct.csv,2012-11-06,MS,general
20121106__ms__general__greene__precinct.csv,2012-11-06,MS,general
20121106__ms__general__grenada__precinct.csv,2012-11-06,MS,general
20121106__ms__general__hancock__precinct.csv,2012-11-06,MS,general
20121106__ms__general__harrison__precinct.csv,2012-11-06,MS,general
20121106__ms__general__hinds__precinct.csv,2012-11-06,MS,general
20121106__ms__general__holmes__precinct.csv,2012-11-06,MS,general
20121106__ms__general__humphreys__precinct.csv,2012-11-06,MS,general
20121106__ms__general__issaquena__precinct.csv,2012-11-06,MS,general
20121106__ms__general__itawamba__precinct.csv,2012-11-06,MS,general
20121106__ms__general__jackson__precinct.csv,2012-11-06,MS,general
20121106__ms__general__jasper__precinct.csv,2012-11-06,MS,general
20121106__ms__general__jefferson__precinct.csv,2012-11-06,MS,general
20121106__ms__general__jefferson_davis__precinct.csv,2012-11-06,MS,general
20121106__ms__general__jones__precinct.csv,2012-11-06,MS,general
20121106__ms__general__kemper__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lafayette__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lamar__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lauderdale__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lawrence__precinct.csv,2012-11-06,MS,general
20121106__ms__general__leake__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lee__precinct.csv,2012-11-06,MS,general
20121106__ms__general__leflore__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lincoln__precinct.csv,2012-11-06,MS,general
20121106__ms__general__lowndes__precinct.csv,2012-11-06,MS,general
20121106__ms__general__madison__precinct.csv,2012-11-06,MS,general
20121106__ms__general__marion__precinct.csv,2012-11-06,MS,general
20121106__ms__general__marshall__precinct.csv,2012-11-06,MS,general
20121106__ms__general__monroe__precinct.csv,2012-11-06,MS,general
20121106__ms__general__montgomery__precinct.csv,2012-11-06,MS,general
20121106__ms__general__neshoba__precinct.csv,2012-11-06,MS,general
20121106__ms__general__newton__precinct.csv,2012-11-06,MS,general
20121106__ms__general__noxubee__precinct.csv,2012-11-06,MS,general
20121106__ms__general__oktibbeha__precinct.csv,2012-11-06,MS,general
20121106__ms__general__panola__precinct.csv,2012-11-06,MS,general
20121106__ms__general__pearl_river__precinct.csv,2012-11-06,MS,general
20121106__ms__general__perry__precinct.csv,2012-11-06,MS,general
20121106__ms__general__pike__precinct.csv,2012-11-06,MS,general
20121106__ms__general__pontotoc__precinct.csv,2012-11-06,MS,general
20121106__ms__general__prentiss__precinct.csv,2012-11-06,MS,general
20121106__ms__general__quitman__precinct.csv,2012-11-06,MS,general
20121106__ms__general__rankin__precinct.csv,2012-11-06,MS,general
20121106__ms__general__scott__precinct.csv,2012-11-06,MS,general
20121106__ms__general__sharkey__precinct.csv,2012-11-06,MS,general
20121106__ms__general__simpson__precinct.csv,2012-11-06,MS,general
20121106__ms__general__smith__precinct.csv,2012-11-06,MS,general
20121106__ms__general__stone__precinct.csv,2012-11-06,MS,general
20121106__ms__general__sunflower__precinct.csv,2012-11-06,MS,general
20121106__ms__general__tallahatchie__precinct.csv,2012-11-06,MS,general
20121106__ms__general__tate__precinct.csv,2012-11-06,MS,general
20121106__ms__general__tippah__precinct.csv,2012-11-06,MS,general
20121106__ms__general__tishomingo__precinct.csv,2012-11-06,MS,general
20121106__ms__general__tunica__precinct.csv,2012-11-06,MS,general
20121106__ms__general__union__precinct.csv,2012-11-06,MS,general
20121106__ms__general__walthall__precinct.csv,2012-11-06,MS,general
20121106__ms__general__warren__precinct.csv,2012-11-06,MS,general
20121106__ms__general__washington__precinct.csv,2012-11-06,MS,general
20121106__ms__general__wayne__precinct.csv,2012-11-06,MS,general
20121106__ms__general__webster__precinct.csv,2012-11-06,MS,general
20121106__ms__general__wilkinson__precinct.csv,2012-11-06,MS,general
20121106__ms__general__winston__precinct.csv,2012-11-06,MS,general
20121106__ms__general__yalobusha__precinct.csv,2012-11-06,MS,general
20121106__ms__general__yazoo__precinct.csv,2012-11-06,MS,general
20121106__ms__special__general__state_house_52.csv,2012-11-06,MS,special
20121106__ms__special__general__state_house_52__precinct.csv,2012-11-06,MS,special
20121106__ms__special__general__state_senate_19.csv,2012-11-06,MS,special
20121106__ms__special__general__state_senate_19__precinct.csv,2012-11-06,MS,special
20121127__ms__special__general_runoff.csv,2012-11-27,MS,special
20121205__ms__special__general_runoff__state_house_52.csv,2012-12-05,MS,special
20121205__ms__special__general_runoff__state_senate_19.csv,2012-12-05,MS,special
20130108__ms__special__general__rankin__state_house__59__precinct.csv,2013-01-08,MS,special
20130117__ms__special__general__state_senate__16.csv,2013-01-17,MS,special
20130205__ms__special__general__hinds__state_senate__28__precinct.csv,2013-02-05,MS,special
20130226__ms__special__general_runoff__hinds__state_senate__28__precinct.csv,2013-02-26,MS,special
20130312__ms__special__general__state_house__36__precinct.csv,2013-03-12,MS,special
20130326__ms__special__general__state_house__11__precinct.csv,2013-03-26,MS,special
20130402__ms__special__general_runoff__state_house__36__precinct.csv,2013-04-02,MS,special
20130416__ms__special__general_runoff__state_house__11__precinct.csv,2013-04-16,MS,special
20130528__ms__special__general__state_house__95__precinct.csv,2013-05-28,MS,special
20131105__ms__special__general__state_house__110__jackson__precinct.csv,2013-11-05,MS,special
20131105__ms__special__general__state_house__55__warren__precinct.csv,2013-11-05,MS,special
20131105__ms__special__general__state_house__5__precinct.csv,2013-11-05,MS,special
20131126__ms__special__general_runoff__state_house__110__jackson__precinct.csv,2013-11-26,MS,special
20131126__ms__special__general_runoff__state_house__5__precinct.csv,2013-11-26,MS,special
20140603__ms__democratic__primary__adams__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__alcorn__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__amite__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__attala__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__benton__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__bolivar__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__calhoun__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__carroll__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__chickasaw__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__choctaw__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__claiborne__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__clarke__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__clay__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__coahoma__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__copiah__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__covington__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__desoto__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__forrest__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__franklin__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__george__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__greene__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__grenada__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__hancock__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__harrison__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__hinds__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__holmes__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__humphreys__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__issaquena__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__itawamba__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__jackson__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__jasper__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__jefferson__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__jefferson_davis__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__jones__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__kemper__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__lafayette__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__lamar__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__lauderdale__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__lawrence__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__leake__precinct.csv,2014-06-03,MS,primary
20140603__ms__democratic__primary__lee__precinct.csv,2014-06-03,MS,primary
